mode,filter,transform,resolution,build,avg_fps,min_fps,max_fps,std_fps,samples
CPU,None,Off,640x480,Debug,227.116,36.0128,267.465,29.7594,1084
CPU,None,Off,1280x720,Debug,81.2308,48.8625,89.6982,6.94716,404
CPU,None,Off,1920x1080,Debug,37.8464,26.1519,41.6005,2.82625,189
CPU,None,On,640x480,Debug,88.6392,0.979218,102.648,14.1173,351
CPU,None,On,1280x720,Debug,41.7066,6.65487,48.5404,6.04821,197
CPU,None,On,1920x1080,Debug,19.6719,0.689243,23.2649,3.05366,72
CPU,Pixelate,Off,640x480,Debug,193.86,51.7531,224.432,18.2913,955
CPU,Pixelate,Off,1280x720,Debug,66.3699,42.5655,74.5879,5.74111,330
CPU,Pixelate,Off,1920x1080,Debug,32.2867,24.5677,34.7137,1.90854,162
CPU,Pixelate,On,640x480,Debug,85.0832,54.4734,94.8596,7.94263,423
CPU,Pixelate,On,1280x720,Debug,38.5619,27.596,44.0079,4.2713,191
CPU,Pixelate,On,1920x1080,Debug,19.1529,14.8117,21.0908,1.52432,96
CPU,SinCity,Off,640x480,Debug,90.2439,21.1875,101.682,9.75092,443
CPU,SinCity,Off,1280x720,Debug,29.6063,3.96014,34.6755,5.63732,131
CPU,SinCity,Off,1920x1080,Debug,13.534,9.00278,15.6993,1.49741,67
CPU,SinCity,On,640x480,Debug,53.5688,33.248,61.6154,5.16512,266
CPU,SinCity,On,1280x720,Debug,22.0908,12.6346,26.1834,2.79095,110
CPU,SinCity,On,1920x1080,Debug,10.7914,7.35151,12.0865,1.01516,55
GPU,None,Off,640x480,Debug,229.337,24.9265,294.048,57.8208,951
GPU,None,Off,1280x720,Debug,77.1289,26.688,90.8348,9.55282,379
GPU,None,Off,1920x1080,Debug,36.583,24.622,41.2485,3.02168,182
GPU,None,On,640x480,Debug,234.806,28.1907,301.541,56.188,981
GPU,None,On,1280x720,Debug,77.3205,46.1223,89.4927,9.54756,380
GPU,None,On,1920x1080,Debug,36.1244,21.1998,41.2754,3.60775,180
GPU,Pixelate,Off,640x480,Debug,230.833,20.7343,295.168,57.8572,960
GPU,Pixelate,Off,1280x720,Debug,78.961,28.5338,90.2104,8.71652,390
GPU,Pixelate,Off,1920x1080,Debug,36.3872,23.9874,41.1807,3.42268,181
GPU,Pixelate,On,640x480,Debug,232.262,26.2912,301.214,53.2505,1021
GPU,Pixelate,On,1280x720,Debug,78.5267,48.7898,90.4977,8.321,388
GPU,Pixelate,On,1920x1080,Debug,36.3642,23.0825,41.2203,3.33426,181
GPU,SinCity,Off,640x480,Debug,234.133,27.4066,301.06,57.0324,986
GPU,SinCity,Off,1280x720,Debug,77.2056,44.2372,89.3551,9.32841,380
GPU,SinCity,Off,1920x1080,Debug,36.8981,23.9308,41.3529,3.08988,184
GPU,SinCity,On,640x480,Debug,232.802,22.851,302.499,54.4202,1002
GPU,SinCity,On,1280x720,Debug,79.4345,27.4913,91.1826,8.40705,393
GPU,SinCity,On,1920x1080,Debug,35.9557,23.6755,40.8903,3.60915,179
