mode,filter,transform,resolution,build,avg_fps,min_fps,max_fps,std_fps,samples
CPU,None,Off,640x480,Release,410.051,13.0249,675.813,133.422,1559
CPU,None,Off,1280x720,Release,149.202,42.6907,192.585,29.3566,703
CPU,None,Off,1920x1080,Release,73.5046,26.1904,87.8125,9.13097,361
CPU,None,On,640x480,Release,334.2,31.8768,463.973,96.1403,1356
CPU,None,On,1280x720,Release,118.353,42.1543,165.314,22.5649,565
CPU,None,On,1920x1080,Release,59.9027,35.9095,72.4464,6.83797,296
CPU,Pixelate,Off,640x480,Release,386.968,28.7481,542.623,126.952,1469
CPU,Pixelate,Off,1280x720,Release,148.908,38.6672,194.723,30.328,698
CPU,Pixelate,Off,1920x1080,Release,75.9907,33.3129,90.4822,8.52527,375
CPU,Pixelate,On,640x480,Release,307.323,28.0545,432.246,87.2152,1279
CPU,Pixelate,On,1280x720,Release,129.787,39.2835,164.204,19.3757,630
CPU,Pixelate,On,1920x1080,Release,63.8174,32.507,76.3551,7.1527,316
CPU,SinCity,Off,640x480,Release,294.999,34.4176,399.712,76.8645,1252
CPU,SinCity,Off,1280x720,Release,104.329,47.1534,127.941,14.0992,512
CPU,SinCity,Off,1920x1080,Release,46.06,25.7092,56.5726,6.15975,227
CPU,SinCity,On,640x480,Release,232.056,32.4182,317.309,58.1566,1019
CPU,SinCity,On,1280x720,Release,95.3402,43.3909,117.637,12.552,467
CPU,SinCity,On,1920x1080,Release,43.9469,31.1937,51.2792,3.91085,219
GPU,None,Off,640x480,Release,400.239,30.2915,568.861,148.595,1370
GPU,None,Off,1280x720,Release,158.823,34.0595,202.597,33.6418,730
GPU,None,Off,1920x1080,Release,76.7144,40.9184,92.4667,8.86885,379
GPU,None,On,640x480,Release,380.844,29.0617,580.552,138.695,1364
GPU,None,On,1280x720,Release,142.34,5.81992,199.904,40.3532,536
GPU,None,On,1920x1080,Release,71.7422,40.8432,90.6561,9.52543,352
GPU,Pixelate,Off,640x480,Release,395.034,28.7771,581.193,136.736,1439
GPU,Pixelate,Off,1280x720,Release,150.21,31.2307,194.541,29.09,702
GPU,Pixelate,Off,1920x1080,Release,73.1555,45.7815,86.4409,6.81769,364
GPU,Pixelate,On,640x480,Release,393.514,29.0764,572.115,141.007,1420
GPU,Pixelate,On,1280x720,Release,161.058,27.3085,198.507,34.354,733
GPU,Pixelate,On,1920x1080,Release,76.2567,29.3201,91.8653,10.5349,374
GPU,SinCity,Off,640x480,Release,358.222,28.6125,566.893,132.117,1296
GPU,SinCity,Off,1280x720,Release,147.588,32.5837,194.833,32.5585,679
GPU,SinCity,Off,1920x1080,Release,66.3905,28.7445,86.2716,10.8231,323
GPU,SinCity,On,640x480,Release,377.45,29.5897,564.525,140.94,1347
GPU,SinCity,On,1280x720,Release,135.526,37.3101,197.064,33.4107,629
GPU,SinCity,On,1920x1080,Release,63.6615,26.8116,85.8133,11.9773,306
